Latitude,Longitude,Shop
44.24190944,-76.60938263,Tim Hortons
44.22621032,-76.49142176,Tim Hortons
44.27964357,-76.80450177,Tim Hortons
44.33769291,-76.14943743,Tim Hortons
44.26077963,-76.96364874,Tim Hortons
44.345277,-76.125635,Tim Hortons
44.24903522,-76.94771686,Tim Hortons
44.01936059,-77.90122032,Tim Hortons
43.98031193,-78.1756005,Tim Hortons
44.1111196,-77.65989025,Tim Hortons
44.10908875,-77.65964977,Tim Hortons
43.97842526,-78.1733036,Tim Hortons
43.99187851,-78.16170502,Tim Hortons
44.09463076,-77.59969846,Tim Hortons
44.10267199,-77.57951617,Tim Hortons
43.96866293,-78.1886688,Tim Hortons
44.12955393,-77.58090019,Tim Hortons
44.1205644,-77.59438817,Tim Hortons
44.10433,-77.56016672,Tim Hortons
43.96989362,-78.20390011,Tim Hortons
43.97196406,-78.28697396,Tim Hortons
44.1158449,-77.552104,Tim Hortons
44.3043646,-77.80353427,Tim Hortons
43.95058253,-78.28016281,Tim Hortons
43.9672295,-78.28915358,Tim Hortons
44.10454187,-77.55530041,Tim Hortons
43.96136205,-78.32309,Tim Hortons
43.94242918,-78.43123725,Tim Hortons
44.17783364,-77.44563103,Tim Hortons
44.176574,-77.402416,Tim Hortons
44.18910573,-77.40233528,Tim Hortons
44.18580461,-77.4080801,Tim Hortons
44.177592,-77.390814,Tim Hortons
44.29165588,-78.29206138,Tim Hortons
44.15952798,-77.38919031,Tim Hortons
44.18898639,-77.40197094,Tim Hortons
44.16047227,-77.39808083,Tim Hortons
44.19608219,-77.40069866,Tim Hortons
44.43328954,-77.89285183,Tim Hortons
44.15607486,-77.43022903,Tim Hortons
44.35733409,-78.29033375,Tim Hortons
43.89532443,-78.8761838,Tim Hortons
43.88681679,-78.85810638,Tim Hortons
43.86773589,-78.8575922,Tim Hortons
43.90551294,-78.86897535,Tim Hortons
43.89915941,-78.8559446,Tim Hortons
43.88177157,-78.85070859,Tim Hortons
43.8721273,-78.90561104,Tim Hortons
43.93065594,-78.8774386,Tim Hortons
43.85963792,-78.9454109,Tim Hortons
43.94014247,-78.84853007,Tim Hortons
43.86989,-78.91114,Tim Hortons
43.93277795,-78.86787524,Tim Hortons
43.902578,-78.843706,Tim Hortons
43.90836352,-78.80217238,Tim Hortons
43.87627753,-78.84320519,Tim Hortons
43.86047517,-78.9346941,Tim Hortons
43.91558101,-78.95866717,Tim Hortons
43.886056,-78.94524519,Tim Hortons
43.86484841,-79.01269526,Tim Hortons
43.9517132,-78.96142314,Tim Hortons
43.83397321,-79.00031316,Tim Hortons
43.85344367,-79.03090946,Tim Hortons
43.95693358,-78.9438587,Tim Hortons
43.8406578,-79.0334592,Tim Hortons
43.89670401,-79.03377374,Tim Hortons
43.83570174,-79.09182461,Tim Hortons
43.84104359,-79.034765,Tim Hortons
43.8429537,-79.07273935,Tim Hortons
43.83387255,-79.06520348,Tim Hortons
43.79890049,-79.14726734,Tim Hortons
44.10049934,-78.94470692,Tim Hortons
43.91896111,-78.58109725,Tim Hortons
43.78319421,-79.20468581,Tim Hortons
43.92113211,-78.54087149,Tim Hortons
43.878208,-79.240146,Tim Hortons
44.03664774,-78.61529946,Tim Hortons
43.83467441,-79.25699445,Tim Hortons
43.95719174,-79.27483154,Tim Hortons
43.77277773,-79.22249978,Tim Hortons
44.08974275,-79.13321257,Tim Hortons
43.77962954,-79.23312377,Tim Hortons
43.77095687,-79.27877837,Tim Hortons
43.7927516,-79.23823714,Tim Hortons
43.82541902,-79.29769635,Tim Hortons
43.89136992,-79.26436576,Tim Hortons
43.84573205,-79.30613995,Tim Hortons
43.89503187,-79.29204226,Tim Hortons
43.78549706,-79.27904809,Tim Hortons
43.75114126,-79.26535188,Tim Hortons
43.74413641,-79.21607745,Tim Hortons
43.78278052,-79.25300816,Tim Hortons
43.79822494,-79.27262411,Tim Hortons
43.78529904,-79.31015987,Tim Hortons
43.95956884,-79.26721573,Tim Hortons
43.758295,-79.312445,Tim Hortons
43.86122095,-79.38743502,Tim Hortons
43.72685535,-79.26603556,Tim Hortons
43.877263,-79.365712,Tim Hortons
